module_id	ko_terms
M00001	KO:K00844
M00001	KO:K12407
M00001	KO:K00845
M00001	KO:K00886
M00001	KO:K08074
M00001	KO:K00918
M00001	KO:K01810
M00001	KO:K06859
M00001	KO:K13810
M00001	KO:K15916
M00001	KO:K00850
M00001	KO:K16370
M00001	KO:K21071
M00001	KO:K00918
M00001	KO:K01623
M00001	KO:K01624
M00001	KO:K11645
M00001	KO:K16305
M00001	KO:K16306
M00001	KO:K01803
M00001	KO:K00134
M00001	KO:K00150
M00001	KO:K00927
M00001	KO:K11389
M00001	KO:K01834
M00001	KO:K15633
M00001	KO:K15634
M00001	KO:K15635
M00001	KO:K01689
M00001	KO:K00873
M00001	KO:K12406
M00002	KO:K01803
M00002	KO:K00134
M00002	KO:K00150
M00002	KO:K00927
M00002	KO:K11389
M00002	KO:K01834
M00002	KO:K15633
M00002	KO:K15634
M00002	KO:K15635
M00002	KO:K01689
M00002	KO:K00873
M00002	KO:K12406
M00003	KO:K01596
M00003	KO:K01610
M00003	KO:K01689
M00003	KO:K01834
M00003	KO:K15633
M00003	KO:K15634
M00003	KO:K15635
M00003	KO:K00927
M00003	KO:K00134
M00003	KO:K00150
M00003	KO:K01803
M00003	KO:K01623
M00003	KO:K01624
M00003	KO:K11645
M00003	KO:K03841
M00003	KO:K02446
M00003	KO:K11532
M00003	KO:K01086
M00003	KO:K04041
M00003	KO:K01622
M00004	KO:K13937
M00004	KO:K00036
M00004	KO:K19243
M00004	KO:K01057
M00004	KO:K07404
M00004	KO:K00033
M00004	KO:K01783
M00004	KO:K01807
M00004	KO:K01808
M00004	KO:K00615
M00004	KO:K00616
M00004	KO:K01810
M00004	KO:K06859
M00004	KO:K13810
M00004	KO:K15916
M00005	KO:K00948
M00006	KO:K13937
M00006	KO:K00036
M00006	KO:K19243
M00006	KO:K01057
M00006	KO:K07404
M00006	KO:K00033
M00007	KO:K00615
M00007	KO:K00616
M00007	KO:K13810
M00007	KO:K01783
M00007	KO:K01807
M00007	KO:K01808
M00008	KO:K00036
M00008	KO:K01057
M00008	KO:K07404
M00008	KO:K01690
M00008	KO:K01625
M00009	KO:K01647
M00009	KO:K05942
M00009	KO:K01681
M00009	KO:K01682
M00009	KO:K00031
M00009	KO:K00030
M00009	KO:K00164
M00009	KO:K01616
M00009	KO:K00658
M00009	KO:K00382
M00009	KO:K00174
M00009	KO:K00175
M00009	KO:K00177
M00009	KO:K00176
M00009	KO:K01902
M00009	KO:K01903
M00009	KO:K01899
M00009	KO:K01900
M00009	KO:K18118
M00009	KO:K00234
M00009	KO:K00235
M00009	KO:K00236
M00009	KO:K00237
M00009	KO:K00239
M00009	KO:K00240
M00009	KO:K00241
M00009	KO:K00242
M00009	KO:K18859
M00009	KO:K18860
M00009	KO:K00244
M00009	KO:K00245
M00009	KO:K00246
M00009	KO:K00247
M00009	KO:K01676
M00009	KO:K01679
M00009	KO:K01677
M00009	KO:K01678
M00009	KO:K00026
M00009	KO:K00025
M00009	KO:K00024
M00009	KO:K00116
M00010	KO:K01647
