KO_id	image_id
KO:K00129	map00410
KO:K00129	map00980
KO:K00129	map00982
KO:K00129	map05204
KO:K00130	map00260
KO:K00131	map00010
KO:K00131	map00030
KO:K00131	map01200
KO:K00132	map00620
KO:K00132	map00650
KO:K00133	map00260
KO:K00133	map00261
KO:K00133	map00270
KO:K00133	map00300
KO:K00133	map01210
KO:K00133	map01230
KO:K00134	map00010
KO:K00134	map00710
KO:K00134	map01200
KO:K00134	map01230
KO:K00134	map04066
KO:K00134	map05010
KO:K00135	map00250
KO:K00135	map00310
KO:K00135	map00350
KO:K00135	map00650
KO:K00137	map00330
KO:K00137	map00410
KO:K00138	map00010
KO:K00138	map00620
KO:K00139	map00250
KO:K00139	map00650
KO:K00140	map00280
KO:K00140	map00410
KO:K00140	map00562
KO:K00140	map00640
KO:K00140	map01200
KO:K00141	map00622
KO:K00141	map00623
KO:K00141	map00627
KO:K00141	map01220
KO:K00143	map00300
KO:K00143	map00310
KO:K00143	map01230
KO:K00145	map00220
KO:K00145	map01210
KO:K00145	map01230
KO:K00146	map00360
KO:K00146	map00643
KO:K00147	map00330
KO:K00147	map00332
KO:K00147	map01230
KO:K00148	map00625
KO:K00148	map00680
KO:K00148	map01200
KO:K00149	map00010
KO:K00149	map00053
KO:K00149	map00071
KO:K00149	map00280
KO:K00149	map00310
KO:K00149	map00330
KO:K00149	map00340
KO:K00149	map00380
KO:K00149	map00410
KO:K00149	map00561
KO:K00149	map00620
KO:K00150	map00010
KO:K00150	map00710
KO:K00150	map01200
KO:K00150	map01230
KO:K00151	map00350
KO:K00151	map01220
KO:K00152	map00626
KO:K00152	map01220
KO:K00156	map00620
KO:K00157	map00280
KO:K00157	map00350
KO:K00157	map00380
KO:K00157	map00750
KO:K00157	map00760
KO:K00157	map00830
KO:K00157	map00982
KO:K00157	map04630
KO:K00158	map00620
KO:K00161	map00010
KO:K00161	map00020
KO:K00161	map00620
KO:K00161	map01200
KO:K00161	map04066
KO:K00161	map04922
KO:K00161	map05230
KO:K00162	map00010
KO:K00162	map00020
KO:K00162	map00620
KO:K00162	map01200
KO:K00162	map04066
KO:K00162	map04922
KO:K00162	map05230
KO:K00163	map00010
KO:K00163	map00020
KO:K00163	map00620
KO:K00163	map01200
KO:K00164	map00020
KO:K00164	map00310
KO:K00164	map00380
KO:K00164	map01200
KO:K00166	map00280
KO:K00166	map00640
KO:K00167	map00280
KO:K00167	map00640
KO:K00169	map00010
KO:K00169	map00020
KO:K00169	map00620
KO:K00169	map00633
KO:K00169	map00640
KO:K00169	map00650
KO:K00169	map00680
KO:K00169	map00720
KO:K00169	map01200
KO:K00170	map00010
KO:K00170	map00020
KO:K00170	map00620
KO:K00170	map00633
KO:K00170	map00640
KO:K00170	map00650
KO:K00170	map00680
KO:K00170	map00720
KO:K00170	map01200
KO:K00171	map00010
KO:K00171	map00020
KO:K00171	map00620
KO:K00171	map00633
