KO_id	modules
KO:K00368	M00529
KO:K00370	M00529
KO:K00370	M00530
KO:K00371	M00529
KO:K00371	M00530
KO:K00372	M00531
KO:K00373	M00529
KO:K00373	M00530
KO:K00374	M00529
KO:K00374	M00530
KO:K00376	M00529
KO:K00380	M00176
KO:K00381	M00176
KO:K00382	M00009
KO:K00382	M00011
KO:K00382	M00036
KO:K00382	M00307
KO:K00382	M00532
KO:K00390	M00176
KO:K00392	M00176
KO:K00394	M00596
KO:K00395	M00596
KO:K00399	M00356
KO:K00399	M00357
KO:K00399	M00563
KO:K00399	M00567
KO:K00401	M00356
KO:K00401	M00357
KO:K00401	M00563
KO:K00401	M00567
KO:K00402	M00356
KO:K00402	M00357
KO:K00402	M00563
KO:K00402	M00567
KO:K00404	M00156
KO:K00405	M00156
KO:K00406	M00156
KO:K00407	M00156
KO:K00408	M00677
KO:K00410	M00151
KO:K00410	M00152
KO:K00411	M00151
KO:K00411	M00152
KO:K00412	M00151
KO:K00412	M00152
KO:K00413	M00151
KO:K00413	M00152
KO:K00414	M00152
KO:K00415	M00152
KO:K00416	M00152
KO:K00417	M00152
KO:K00418	M00152
KO:K00419	M00152
KO:K00420	M00152
KO:K00425	M00153
KO:K00426	M00153
KO:K00431	M00043
KO:K00444	M00677
KO:K00445	M00677
KO:K00446	M00569
KO:K00451	M00044
KO:K00452	M00038
KO:K00453	M00038
KO:K00454	M00113
KO:K00455	M00533
KO:K00457	M00044
KO:K00462	M00543
KO:K00463	M00038
KO:K00475	M00138
KO:K00486	M00038
KO:K00487	M00039
KO:K00487	M00137
KO:K00487	M00350
KO:K00488	M00104
KO:K00489	M00104
KO:K00497	M00108
KO:K00497	M00109
KO:K00498	M00107
KO:K00501	M00042
KO:K00502	M00037
KO:K00503	M00042
KO:K00505	M00042
KO:K00512	M00109
KO:K00512	M00110
KO:K00513	M00108
KO:K00513	M00109
KO:K00514	M00097
KO:K00524	M00053
KO:K00525	M00053
KO:K00526	M00053
KO:K00527	M00053
KO:K00529	M00545
KO:K00531	M00175
KO:K00542	M00047
KO:K00543	M00037
KO:K00548	M00017
KO:K00549	M00017
KO:K00550	M00091
KO:K00551	M00091
KO:K00553	M00042
KO:K00558	M00035
KO:K00559	M00102
KO:K00560	M00053
KO:K00568	M00117
KO:K00570	M00091
KO:K00572	M00677
KO:K00577	M00357
KO:K00577	M00567
KO:K00578	M00357
KO:K00578	M00567
KO:K00579	M00357
KO:K00579	M00567
KO:K00580	M00357
KO:K00580	M00567
KO:K00581	M00357
KO:K00581	M00567
KO:K00582	M00357
KO:K00582	M00567
KO:K00583	M00357
KO:K00583	M00567
KO:K00584	M00357
KO:K00584	M00567
KO:K00588	M00039
KO:K00588	M00350
KO:K00589	M00121
KO:K00591	M00128
KO:K00600	M00140
KO:K00600	M00141
KO:K00600	M00346
KO:K00600	M00532
KO:K00601	M00048
KO:K00602	M00048
KO:K00605	M00532
KO:K00606	M00119
KO:K00608	M00051
KO:K00609	M00051
KO:K00610	M00051
KO:K00611	M00029
KO:K00613	M00047
KO:K00615	M00004
KO:K00615	M00007
KO:K00615	M00165
KO:K00615	M00167
KO:K00616	M00004
KO:K00616	M00007
KO:K00618	M00028
KO:K00619	M00028
KO:K00620	M00028
KO:K00625	M00357
KO:K00625	M00579
KO:K00626	M00088
KO:K00626	M00095
KO:K00626	M00373
KO:K00626	M00374
KO:K00626	M00375
KO:K00627	M00307
KO:K00629	M00089
KO:K00630	M00089
KO:K00631	M00089
KO:K00632	M00087
KO:K00632	M00113
KO:K00635	M00089
KO:K00640	M00021
KO:K00645	M00082
KO:K00647	M00083
KO:K00647	M00572
KO:K00648	M00082
KO:K00648	M00083
KO:K00651	M00017
KO:K00652	M00123
KO:K00652	M00573
KO:K00652	M00577
KO:K00654	M00094
KO:K00654	M00099
KO:K00655	M00089
KO:K00657	M00135
KO:K00658	M00009
KO:K00658	M00011
KO:K00658	M00032
KO:K00659	M00106
KO:K00660	M00137
KO:K00665	M00082
KO:K00665	M00083
KO:K00667	M00082
KO:K00667	M00083
KO:K00668	M00082
KO:K00668	M00083
KO:K00669	M00037
KO:K00672	M00567
KO:K00674	M00016
KO:K00677	M00060
KO:K00688	M00565
KO:K00699	M00014
KO:K00699	M00129
KO:K00700	M00565
KO:K00703	M00565
KO:K00710	M00056
KO:K00714	M00677
KO:K00717	M00075
KO:K00719	M00068
KO:K00720	M00066
KO:K00727	M00056
KO:K00729	M00055
KO:K00730	M00072
KO:K00731	M00056
KO:K00733	M00057
KO:K00734	M00057
KO:K00736	M00075
KO:K00737	M00075
KO:K00738	M00075
KO:K00739	M00056
KO:K00744	M00075
KO:K00746	M00058
KO:K00747	M00058
KO:K00748	M00060
KO:K00762	M00051
KO:K00764	M00048
KO:K00765	M00026
KO:K00766	M00023
KO:K00767	M00115
KO:K00768	M00122
KO:K00771	M00057
KO:K00772	M00034
KO:K00778	M00075
KO:K00779	M00075
KO:K00787	M00366
KO:K00787	M00367
KO:K00788	M00127
KO:K00789	M00034
KO:K00789	M00035
KO:K00789	M00368
KO:K00789	M00609
KO:K00793	M00125
KO:K00794	M00125
KO:K00795	M00364
KO:K00796	M00126
KO:K00797	M00034
KO:K00797	M00133
KO:K00798	M00122
KO:K00800	M00022
KO:K00804	M00367
KO:K00814	M00171
KO:K00815	M00025
KO:K00815	M00034
KO:K00817	M00026
KO:K00818	M00028
KO:K00821	M00016
KO:K00821	M00028
KO:K00823	M00027
KO:K00825	M00030
KO:K00825	M00032
KO:K00826	M00019
KO:K00826	M00036
KO:K00826	M00119
KO:K00826	M00570
KO:K00830	M00346
KO:K00830	M00532
KO:K00831	M00020
KO:K00831	M00124
KO:K00832	M00024
KO:K00832	M00025
KO:K00832	M00034
KO:K00832	M00040
KO:K00833	M00123
KO:K00833	M00573
KO:K00833	M00577
KO:K00836	M00033
KO:K00838	M00024
KO:K00838	M00025
KO:K00838	M00030
KO:K00838	M00034
KO:K00841	M00525
KO:K00844	M00001
KO:K00844	M00549
KO:K00845	M00001
KO:K00845	M00549
KO:K00849	M00554
KO:K00849	M00632
KO:K00850	M00001
KO:K00850	M00345
KO:K00854	M00014
KO:K00855	M00165
KO:K00855	M00166
KO:K00859	M00120
KO:K00860	M00176
KO:K00861	M00125
KO:K00863	M00344
KO:K00866	M00090
KO:K00867	M00120
KO:K00869	M00095
KO:K00872	M00018
KO:K00873	M00001
KO:K00873	M00002
KO:K00873	M00049
KO:K00873	M00050
KO:K00874	M00061
KO:K00874	M00308
KO:K00874	M00631
KO:K00877	M00127
KO:K00878	M00127
KO:K00883	M00552
KO:K00886	M00001
KO:K00886	M00549
KO:K00888	M00130
KO:K00889	M00130
KO:K00891	M00022
KO:K00894	M00092
KO:K00899	M00034
KO:K00911	M00130
KO:K00912	M00060
KO:K00913	M00132
KO:K00915	M00132
KO:K00918	M00001
KO:K00919	M00096
KO:K00922	M00676
KO:K00925	M00357
KO:K00925	M00579
KO:K00927	M00001
KO:K00927	M00002
KO:K00927	M00003
KO:K00927	M00165
KO:K00927	M00166
KO:K00927	M00308
KO:K00927	M00552
KO:K00928	M00016
KO:K00928	M00017
KO:K00928	M00018
KO:K00928	M00033
KO:K00928	M00525
KO:K00928	M00526
KO:K00928	M00527
KO:K00930	M00028
KO:K00931	M00015
KO:K00933	M00047
KO:K00938	M00095
KO:K00939	M00049
KO:K00940	M00049
KO:K00940	M00050
KO:K00940	M00052
KO:K00940	M00053
KO:K00941	M00127
KO:K00942	M00050
KO:K00943	M00053
KO:K00944	M00049
KO:K00945	M00052
KO:K00946	M00127
KO:K00948	M00005
KO:K00950	M00126
KO:K00953	M00125
KO:K00954	M00120
KO:K00955	M00176
KO:K00956	M00176
KO:K00956	M00596
KO:K00957	M00176
KO:K00957	M00596
KO:K00958	M00176
KO:K00958	M00596
KO:K00962	M00394
KO:K00963	M00129
KO:K00963	M00361
KO:K00963	M00362
KO:K00963	M00549
KO:K00965	M00362
KO:K00965	M00554
KO:K00965	M00632
KO:K00966	M00114
KO:K00966	M00361
KO:K00966	M00362
KO:K00967	M00092
KO:K00968	M00090
KO:K00969	M00115
KO:K00971	M00114
KO:K00971	M00361
KO:K00971	M00362
KO:K00972	M00361
KO:K00972	M00362
KO:K00975	M00565
KO:K00979	M00063
KO:K00981	M00093
KO:K00991	M00096
KO:K00993	M00092
KO:K00994	M00090
KO:K00998	M00093
KO:K01001	M00055
KO:K01006	M00169
KO:K01006	M00171
KO:K01006	M00172
KO:K01006	M00173
KO:K01007	M00173
KO:K01007	M00374
KO:K01012	M00123
KO:K01012	M00573
KO:K01012	M00577
KO:K01019	M00067
KO:K01046	M00098
KO:K01051	M00081
KO:K01053	M00129
KO:K01054	M00098
KO:K01055	M00568
KO:K01057	M00004
KO:K01057	M00006
KO:K01057	M00008
KO:K01064	M00677
KO:K01077	M00126
KO:K01079	M00020
KO:K01080	M00089
KO:K01086	M00003
KO:K01086	M00165
KO:K01086	M00167
KO:K01089	M00026
KO:K01092	M00131
KO:K01100	M00165
KO:K01100	M00167
KO:K01106	M00131
KO:K01107	M00131
KO:K01109	M00131
KO:K01113	M00126
KO:K01116	M00130
KO:K01132	M00077
KO:K01132	M00079
KO:K01135	M00076
KO:K01135	M00077
KO:K01136	M00076
KO:K01136	M00078
KO:K01137	M00078
KO:K01137	M00079
KO:K01184	M00081
KO:K01195	M00014
KO:K01195	M00076
KO:K01195	M00077
KO:K01195	M00078
KO:K01195	M00129
KO:K01197	M00076
KO:K01197	M00077
KO:K01205	M00078
KO:K01207	M00628
KO:K01213	M00081
KO:K01217	M00076
KO:K01217	M00078
KO:K01228	M00073
KO:K01230	M00073
KO:K01230	M00074
KO:K01231	M00075
KO:K01236	M00565
KO:K01243	M00034
KO:K01243	M00609
KO:K01244	M00034
KO:K01251	M00035
KO:K01356	M00729
KO:K01357	M00677
KO:K01384	M00677
KO:K01431	M00046
KO:K01432	M00038
KO:K01438	M00028
KO:K01439	M00016
KO:K01441	M00099
KO:K01448	M00727
KO:K01464	M00046
KO:K01465	M00051
KO:K01466	M00546
KO:K01467	M00628
KO:K01468	M00045
KO:K01476	M00029
KO:K01476	M00134
KO:K01477	M00546
KO:K01479	M00045
KO:K01480	M00133
KO:K01491	M00140
KO:K01491	M00377
KO:K01492	M00048
KO:K01493	M00429
KO:K01494	M00053
KO:K01495	M00126
KO:K01496	M00026
KO:K01497	M00125
KO:K01498	M00125
KO:K01499	M00567
KO:K01520	M00053
KO:K01523	M00026
KO:K01549	M00158
KO:K01555	M00044
KO:K01556	M00038
KO:K01558	M00677
KO:K01565	M00078
KO:K01574	M00088
KO:K01579	M00119
KO:K01580	M00027
KO:K01581	M00134
KO:K01583	M00133
KO:K01584	M00133
KO:K01585	M00133
KO:K01586	M00016
KO:K01586	M00525
KO:K01586	M00526
KO:K01586	M00527
KO:K01587	M00048
KO:K01588	M00048
KO:K01589	M00048
KO:K01591	M00051
KO:K01592	M00042
KO:K01593	M00037
KO:K01593	M00042
KO:K01595	M00168
KO:K01595	M00170
KO:K01595	M00171
KO:K01595	M00172
KO:K01595	M00173
KO:K01595	M00346
KO:K01595	M00374
KO:K01596	M00003
KO:K01597	M00095
KO:K01598	M00120
KO:K01599	M00121
KO:K01601	M00165
KO:K01601	M00166
KO:K01601	M00532
KO:K01602	M00165
KO:K01602	M00166
KO:K01602	M00532
KO:K01609	M00023
KO:K01610	M00003
KO:K01610	M00170
KO:K01611	M00034
KO:K01611	M00133
KO:K01613	M00093
KO:K01617	M00569
KO:K01622	M00003
KO:K01623	M00001
KO:K01623	M00003
KO:K01623	M00165
KO:K01623	M00167
KO:K01624	M00001
